ACRES_AG_1MI,ANIMAL_COUNT,COUNTYNAME,Lagoon,Operation,APP_RATE,Regulate_1,SOURCE,Status,WASTE_OUTPUT,X,Y,geometry
534,10000,Scotland,3,Dogwood Complex / Farm 74411,17360,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,9270000,-79.431,34.8951,POINT (-79.431 34.8951)
766,4000,Robeson,1,"Buckhorn Farms, LLC.",16726,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,12812000,-78.9787,34.902,POINT (-78.9787 34.902)
73,3552,Anson,1,Live Oak Farms #2,9294,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,678432,-80.0411,34.9071,POINT (-80.0411 34.9071)
242,2400,Scotland,1,Farm 7688,31765,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-79.4732,34.9289,POINT (-79.47320000000001 34.9289)
534,8000,Scotland,3,Dogwood Complex / Farm 74411,2861,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1528000,-79.431,34.8951,POINT (-79.431 34.8951)
406,80,Cumberland,1,J & D Farm,761,Swine - Farrow to Feeder,NC Dept. of Environmental Quality,Expired,308880,-78.7953,34.8998,POINT (-78.7953 34.8998)
333,2200,Anson,1,White Rock Farms,21161,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7046600,-80.0664,34.8531,POINT (-80.0664 34.8531)
1004,8800,Hoke,1,Hog's Breath Inc / Farm 5077,8125,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,8157600,-79.3028,34.8713,POINT (-79.3028 34.8713)
1019,2400,Robeson,1,7681,7544,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-79.127,34.8643,POINT (-79.127 34.8643)
53,3552,Anson,1,Gold Creek Farms #2,12801,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,678432,-80.0247,34.8638,POINT (-80.0247 34.8638)
751,15840,Hoke,2,"Swinestone Farm, Inc.",19552,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,14683680,-79.3186,34.8878,POINT (-79.3186 34.8878)
713,4411,Robeson,2,Farm 7690 & 7691,19815,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,14128433,-78.9182,34.8359,POINT (-78.9182 34.8359)
174,1540,Cumberland,2,Riverview Farms,28348,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,4932620,-78.8037,34.8607,POINT (-78.80370000000001 34.8607)
481,3500,Bladen,1,Squire's Sow Complex,23307,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,11210500,-78.7709,34.8417,POINT (-78.7709 34.8417)
252,880,Anson,1,T & T Farm,3237,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,815760,-80.1678,34.8501,POINT (-80.1678 34.8501)
112,3552,Anson,1,Gold Creek Farm,6057,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,678432,-80.1018,34.8455,POINT (-80.1018 34.8455)
180,2400,Richmond,1,7685,42707,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-79.6486,34.8259,POINT (-79.6486 34.8259)
1117,1200,Hoke,1,Charles Locklear Farm,4148,Swine - Farrow to Feeder,NC Dept. of Environmental Quality,Active,4633200,-79.2939,34.8485,POINT (-79.29389999999999 34.8485)
1116,3927,Robeson,1,Farm 5578,11271,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,12578181,-79.2713,34.8298,POINT (-79.2713 34.8298)
847,3927,Robeson,1,Farm 5575,14850,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,12578181,-79.1452,34.8335,POINT (-79.1452 34.8335)
132,400,Bladen,1,Bladen Boar Stud,11700,Swine - Boar/Stud,NC Dept. of Environmental Quality,Active,1544400,-78.7864,34.848,POINT (-78.7864 34.848)
528,3927,Scotland,1,Farm 5574,23822,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,12578181,-79.4113,34.7988,POINT (-79.4113 34.7988)
238,500,Scotland,1,Farm 5570,22013,Swine - Farrow to Finish,NC Dept. of Environmental Quality,Active,5239000,-79.3794,34.806,POINT (-79.3794 34.806)
1006,3927,Robeson,1,Farm 5576,12503,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,12578181,-79.2242,34.8152,POINT (-79.2242 34.8152)
198,4411,Bladen,3,P-14 A&B,71356,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,14128433,-78.806,34.8169,POINT (-78.806 34.8169)
481,400,Bladen,1,Squire's Sow Complex,159,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,76400,-78.7709,34.8417,POINT (-78.7709 34.8417)
981,1200,Scotland,2,Farm 7668,3918,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,3843600,-79.5102,34.8072,POINT (-79.5102 34.8072)
281,1200,Scotland,1,7169,3959,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1112400,-79.3868,34.8076,POINT (-79.38679999999999 34.8076)
1027,3520,Robeson,1,Samuel Locklear Farm,3177,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3263040,-79.2982,34.8194,POINT (-79.29819999999999 34.8194)
795,16000,Robeson,2,Farm 94 / 3094,18657,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,14832000,-79.0128,34.7893,POINT (-79.0128 34.7893)
651,4600,Robeson,2,Farm 7442,6550,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4264200,-78.9437,34.8254,POINT (-78.94370000000001 34.8254)
39,4320,Scotland,1,T. G. Gibson,102683,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4004640,-79.6398,34.7996,POINT (-79.63979999999999 34.7996)
505,8800,Scotland,1,Farm 5070,16154,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,8157600,-79.3499,34.7633,POINT (-79.34990000000001 34.7633)
1018,2400,Robeson,1,Farm # 7684,7551,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-79.2803,34.7805,POINT (-79.2803 34.7805)
1016,120,Robeson,2,Oxendine Pork Farm,1238,Swine - Farrow to Finish,NC Dept. of Environmental Quality,Active,1257360,-79.0746,34.7804,POINT (-79.0746 34.7804)
450,5927,Bladen,3,"Farm #3515, 3316, and 3723",42187,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,18984181,-78.8466,34.7517,POINT (-78.8466 34.7517)
142,3500,Bladen,1,Evergreen Sow,78947,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,11210500,-78.7832,34.8135,POINT (-78.78319999999999 34.8135)
841,425,Scotland,1,7097 - Gibson Farm,1951,Swine - Gilts,NC Dept. of Environmental Quality,Active,1640925,-79.562,34.7696,POINT (-79.562 34.7696)
516,9288,Scotland,5,Farm 5096,16686,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,8609976,-79.3902,34.7849,POINT (-79.39019999999999 34.7849)
1146,6500,Robeson,1,"Ward Farms, Inc.",5258,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,6025500,-78.9567,34.7466,POINT (-78.9567 34.7466)
988,8000,Robeson,1,"All In Farms, Inc.",7506,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,7416000,-78.9176,34.745,POINT (-78.91759999999999 34.745)
516,1350,Scotland,1,7177,10101,Swine - Farrow to Feeder,NC Dept. of Environmental Quality,Active,5212350,-79.3897,34.7705,POINT (-79.3897 34.7705)
1030,800,Robeson,1,Billy Oxendine Farm,720,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,741600,-79.1491,34.7511,POINT (-79.1491 34.7511)
482,3500,Bladen,1,Singletary Sow Farm,23258,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,11210500,-78.7374,34.757,POINT (-78.73739999999999 34.757)
796,7200,Robeson,3,"5703, 5704, & 5711",28972,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,23061600,-79.329,34.6975,POINT (-79.32899999999999 34.6975)
575,8000,Bladen,1,Farm 92,12897,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,7416000,-78.8019,34.7167,POINT (-78.8019 34.7167)
891,7920,Scotland,1,Carroll's Farm # 7078 - Unit 1,8240,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,7341840,-79.466,34.6922,POINT (-79.46599999999999 34.6922)
1018,35200,Robeson,1,"5071, 5072, 5073, & 5074",32053,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,32630400,-79.342,34.6931,POINT (-79.342 34.6931)
629,5280,Scotland,1,Farm 50793-1,7781,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4894560,-79.4865,34.6978,POINT (-79.48650000000001 34.6978)
919,4800,Robeson,1,Carroll's Farm # 5080,4842,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4449600,-79.3788,34.6935,POINT (-79.3788 34.6935)
382,4512,Bladen,5,P-7 A - E,37832,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,14451936,-78.793,34.6885,POINT (-78.79300000000001 34.6885)
830,3927,Scotland,1,Farm 5573,15154,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,12578181,-79.4622,34.6627,POINT (-79.4622 34.6627)
1041,2400,Robeson,1,Farm 5782,7384,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-79.4249,34.6432,POINT (-79.42489999999999 34.6432)
943,3520,Robeson,1,In Deep Farm,3460,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3263040,-78.8555,34.6634,POINT (-78.85550000000001 34.6634)
986,3927,Robeson,1,Farm 5579,12757,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,12578181,-79.3634,34.6528,POINT (-79.3634 34.6528)
1031,2496,Robeson,1,Jack McLean Farm,2244,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2313792,-79.3113,34.6397,POINT (-79.3113 34.6397)
641,2473,Bladen,4,Farm P-24,3576,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2292471,-78.793,34.6477,POINT (-78.79300000000001 34.6477)
719,7040,Robeson,1,M&T Farm,9077,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,6526080,-79.436,34.6389,POINT (-79.43600000000001 34.6389)
436,3200,Robeson,1,David McLean Farm,6804,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2966400,-78.8595,34.6166,POINT (-78.8595 34.6166)
1023,17600,Robeson,4,5075 & 5076,15948,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,16315200,-79.3907,34.6245,POINT (-79.3907 34.6245)
1010,3552,Robeson,1,William Davis Farm,672,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,678432,-79.3241,34.6058,POINT (-79.3241 34.6058)
713,6160,Bladen,2,"Fox Bay Farm, LLC",8009,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5710320,-78.8173,34.5899,POINT (-78.8173 34.5899)
848,12160,Bladen,2,Allen Brothers Farm,2739,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,2322560,-78.8047,34.5987,POINT (-78.8047 34.5987)
686,752,Bladen,1,Pineland Grain Co Farm,3511,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,2408656,-78.7845,34.6148,POINT (-78.78449999999999 34.6148)
748,2400,Robeson,1,Farm 5701,10277,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-79.3647,34.6149,POINT (-79.3647 34.6149)
811,7920,Bladen,1,Singletary Finishing,9053,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,7341840,-78.7983,34.5916,POINT (-78.7983 34.5916)
609,1200,Robeson,1,Farm 5572,20646,Swine - Farrow to Finish,NC Dept. of Environmental Quality,Active,12573600,-79.3779,34.6001,POINT (-79.3779 34.6001)
1027,7920,Robeson,1,Farm #2 - Aaron Swamp,7149,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,7341840,-79.2088,34.5452,POINT (-79.2088 34.5452)
614,7040,Bladen,2,"Melvin Bros Farms, LLC",10629,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,6526080,-78.8238,34.5719,POINT (-78.82380000000001 34.5719)
1275,3936,Robeson,1,Tommy Stone Farm,2862,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3648672,-79.3202,34.5568,POINT (-79.3202 34.5568)
664,2400,Bladen,1,Farm 5710,11577,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-78.8041,34.5797,POINT (-78.80410000000001 34.5797)
771,28152,Bladen,4,Storms Farm Waste to Energy Digester Facilities,33848,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,26096904,-78.7456,34.5478,POINT (-78.7456 34.5478)
1104,2880,Robeson,1,Pineland Farms,2418,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-79.3163,34.538,POINT (-79.3163 34.538)
569,750,Bladen,2,Reedy Branch Farm,252,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,143250,-78.8288,34.5392,POINT (-78.8288 34.5392)
781,7920,Robeson,1,Hoke Smith Jr #3 Farm (Hedge Farm),9401,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,7341840,-79.2282,34.5139,POINT (-79.2282 34.5139)
971,7920,Robeson,1,Hoke Smith Jr #1 Farm (Sugar Hill),7561,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,7341840,-79.1901,34.5079,POINT (-79.1901 34.5079)
275,3200,Bladen,1,Ross Lewis Farm,10787,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2966400,-78.8369,34.519,POINT (-78.8369 34.519)
904,7920,Robeson,1,Hoke Smith Jr #4 Farm (Savannah Pond),8122,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,7341840,-79.2064,34.5216,POINT (-79.2064 34.5216)
607,8800,Bladen,1,Sandhill Hog Farm,13439,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,8157600,-78.8538,34.4902,POINT (-78.85380000000001 34.4902)
381,16000,Bladen,3,Farm #29 & Farm #93,38929,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,14832000,-78.7728,34.4962,POINT (-78.7728 34.4962)
739,752,Bladen,1,Px-10,3259,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,2408656,-78.7516,34.5101,POINT (-78.7516 34.5101)
